from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
5256,5256,91503042_0,91503042_1,1
15008,15008,91503353_0,91503353_1,1
14704,14704,91503353_1,91503353_2,1
3905,3905,92093025_0,92093025_1,1
4861,4861,92093060_0,92093060_1,1
4879,4879,92093062_0,92093062_1,1
4879,4879,92093063_0,92093063_1,1
4879,4879,92093064_0,92093064_1,1
4879,4879,92093065_0,92093065_1,1
4879,4879,92093068_0,92093068_1,1
4879,4879,92093069_0,92093069_1,1
3905,3905,92093075_0,92093075_1,1
3905,3905,92093087_0,92093087_1,1
4713,4713,92092084_0,92092084_1,1
14704,14704,91503377_0,91503377_1,1
15008,15008,91503377_1,91503377_2,1
14704,14704,91503378_0,91503378_1,1
15008,15008,91503378_1,91503378_2,1
14704,14704,91503379_0,91503379_1,1
15008,15008,91503379_1,91503379_2,1
14704,14704,91503380_0,91503380_1,1
15008,15008,91503380_1,91503380_2,1
15008,15008,91503382_0,91503382_1,1
14704,14704,91503382_1,91503382_2,1
15008,15008,91503383_0,91503383_1,1
14704,14704,91503383_1,91503383_2,1
15008,15008,91503384_0,91503384_1,1
14704,14704,91503384_1,91503384_2,1
4713,4713,92092112_0,92092112_1,1
4879,4879,92093229_0,92093229_1,1
4879,4879,92093230_0,92093230_1,1
4861,4861,92093232_0,92093232_1,1
4879,4879,92093234_0,92093234_1,1
4879,4879,92093239_0,92093239_1,1
4879,4879,92093238_0,92093238_1,1
4713,4713,92092120_0,92092120_1,1
4713,4713,92092123_0,92092123_1,1
4713,4713,92092124_0,92092124_1,1
4713,4713,92092126_0,92092126_1,1
4713,4713,92092128_0,92092128_1,1
4713,4713,92092130_0,92092130_1,1
4713,4713,92092134_0,92092134_1,1
4713,4713,92092139_0,92092139_1,1
4713,4713,92092140_0,92092140_1,1
4713,4713,92092145_0,92092145_1,1
4713,4713,92092149_0,92092149_1,1
4713,4713,92093423_0,92093423_1,1
4739,4739,92093425_0,92093425_1,1
4713,4713,92093427_0,92093427_1,1
4739,4739,92093429_0,92093429_1,1
4713,4713,92093434_0,92093434_1,1
4739,4739,92093432_0,92093432_1,1
3905,3905,92093437_0,92093437_1,1
4879,4879,92093454_0,92093454_1,1
4879,4879,92093455_0,92093455_1,1
9456,9456,92090758_0,92090758_1,1
10009,10009,92090878_0,92090878_1,1
10405,10405,92090878_1,92090878_2,1
10009,10009,91502691_0,91502691_1,1
10009,10009,92090884_0,92090884_1,1
10405,10405,92090884_1,92090884_2,1
10009,10009,91502692_0,91502692_1,1
10009,10009,92090888_0,92090888_1,1
10405,10405,92090888_1,92090888_2,1
10009,10009,91502693_0,91502693_1,1
10009,10009,92090890_0,92090890_1,1
10405,10405,92090890_1,92090890_2,1
10405,10405,92090894_0,92090894_1,1
10009,10009,92090894_1,92090894_2,1
10009,10009,91502694_0,91502694_1,1
10405,10405,92090901_0,92090901_1,1
10009,10009,92090901_1,92090901_2,1
10009,10009,91502695_0,91502695_1,1
10405,10405,92090904_0,92090904_1,1
10009,10009,92090904_1,92090904_2,1
10009,10009,91502696_0,91502696_1,1
10405,10405,92090909_0,92090909_1,1
10009,10009,92090909_1,92090909_2,1
10009,10009,91502697_0,91502697_1,1
10009,10009,92090918_0,92090918_1,1
10405,10405,92090918_1,92090918_2,1
10405,10405,92090925_0,92090925_1,1
10009,10009,92090925_1,92090925_2,1
9456,9456,92091036_0,92091036_1,1
257521,257521,92092652_0,92092652_1,1
117168,117168,92092652_1,92092652_2,1
